cod_canton|nombre|poblacion|cod_provincias|cod_clima
1709|PUERTO QUITO|20445|17|Am
1801|AMBATO|329856|18|Cfb
1802|BAÑOS DE AGUA SANTA|20018|18|Cfb
1803|CEVALLOS|8163|18|Cfb
1804|MOCHA|6777|18|Cfb
1805|PATATE|13497|18|Cfb
1806|QUERO|19205|18|Cfb
1807|PELILEO|56573|18|Cfb
1808|PILLARO|38357|18|Cfb
1809|TISALEO|12137|18|Cfb
1901|ZAMORA|25510|19|Cfb
1902|CHINCHIPE|9119|19|Cfb
1903|NANGARITZA|5196|19|Aw
1904|YACUAMBI|5835|19|Cfb
1905|YANTZAZA|18675|19|Aw
1906|EL PANGUI|8619|19|Aw
1907|CENTINELA DEL CONDOR|6479|19|Cfb
1908|PALANDA|8089|19|Cfb
1909|PAQUISHA|3854|19|Aw
2001|SAN CRISTOBAL|7475|20|BSh
2002|ISABELA|2256|20|BSh
2003|SANTA CRUZ|15393|20|BSh
2101|LAGO AGRIO|91744|21|Af
2102|GONZALO PIZARRO|8599|21|AS
2103|PUTUMAYO|10174|21|Af
2104|SHUSHUFINDI|44328|21|Af
2105|SUCUMBIOS|3390|21|Csb
2106|CASCALES|11104|21|Af
2107|CAYUBENO|7133|21|Af
2201|ORELLANA|72795|22|Af
2202|AGUARICO|4847|22|Af
2203|LA JOYA DE LOS SACHAS|37591|22|Af
2204|LORETO|21163|22|Af
2301|SANTO DOMINGO|368013|23|Am
2401|SANTA ELENA|144076|24|Aw
2402|LIBERTAD|95942|24|Aw
2403|SALINAS|68675|24|Aw
