id_capacidad|habitaciones|camas|id_sub_act|id_categoria|cod_canton
243|768|903|18|23|0901
244|1417|2370|20|26|0901
245|993|1598|20|25|0901
246|764|1456|20|24|0901
247|1193|2061|20|23|0901
248|55|69|17|23|0910
249|19|24|17|22|0910
250|113|225|20|24|0910
251|20|28|20|23|0910
252|55|76|17|23|0911
253|80|144|20|23|0911
254|6|13|16|26|0912
255|35|45|17|22|0912
256|27|90|17|24|0921
257|139|427|17|23|0921
258|172|435|17|22|0921
259|13|15|17|23|0921
260|48|162|19|26|0921
261|86|215|19|25|0921
262|61|163|19|24|0921
263|50|140|20|24|0921
264|268|679|20|23|0921
265|44|86|20|26|0916
266|8|17|20|24|0916
267|13|17|17|23|0919
268|20|41|17|22|1002
269|86|191|19|24|1002
270|39|85|20|24|1002
271|14|25|20|23|1002
272|9|19|16|25|1003
273|8|18|17|24|1003
274|12|21|17|23|1003
275|28|58|17|22|1003
276|22|48|19|26|1003
277|44|44|19|25|1003
278|69|187|19|24|1003
279|35|62|20|23|1003
280|12|22|21|25|1003
281|36|110|28|21|1003
282|3|5|8|21|1001
283|33|71|9|21|1001
284|53|108|16|25|1001
285|16|48|17|24|1001
286|189|465|17|23|1001
287|340|678|17|22|1001
288|17|39|19|26|1001
289|199|437|19|25|1001
290|171|520|19|24|1001
291|155|167|20|25|1001
292|183|337|20|24|1001
293|185|348|20|23|1001
294|7|12|9|21|1004
295|28|58|16|25|1004
296|201|379|17|23|1004
297|171|331|17|22|1004
298|15|33|19|26|1004
299|90|192|19|25|1004
300|68|192|19|24|1004
301|29|39|20|26|1004
302|30|58|20|25|1004
303|37|59|20|24|1004
304|138|255|20|23|1004
305|11|26|21|25|1004
306|16|32|28|21|1004
307|33|71|17|22|1005
308|3|6|9|21|1006
309|20|71|17|23|1006
310|34|85|17|22|1006
311|40|116|19|25|1006
312|45|165|19|24|1006
313|13|31|20|24|1006
314|13|38|20|23|1006
315|9|22|21|25|1006
316|11|34|28|21|1006
317|90|162|17|22|1102
318|16|27|17|23|1102
319|7|11|19|24|1102
320|48|74|20|24|1102
321|30|56|17|22|1103
322|14|22|17|24|1103
323|12|12|17|23|1103
324|14|34|19|25|1103
325|44|133|19|24|1103
326|57|106|20|24|1103
327|95|155|20|23|1103
328|27|45|17|22|1104
329|18|26|17|22|1105
330|15|28|17|22|1106
331|24|39|17|23|1107
332|10|30|17|22|1107
333|6|12|19|24|1107
334|15|26|9|21|1101
335|32|67|17|24|1101
336|103|159|17|23|1101
337|408|660|17|22|1101
338|55|74|17|23|1101
339|20|45|19|26|1101
340|23|56|19|25|1101
341|148|361|19|24|1101
342|111|175|20|26|1101
343|159|234|20|25|1101
344|337|561|20|24|1101
345|305|601|20|23|1101
346|9|25|28|21|1101
347|32|41|17|23|1108
348|130|224|17|22|1108
349|7|13|19|24|1108
350|33|68|20|23|1108
351|24|36|17|23|1109
352|28|46|17|22|1109
353|25|49|17|22|1114
354|10|12|19|24|1114
355|16|26|17|22|1110
356|15|21|17|23|1110
357|38|69|20|23|1110
358|39|78|17|22|1111
359|16|24|20|24|1111
360|12|28|17|24|1113
361|41|67|17|22|1113
362|33|44|20|24|1113
363|44|117|20|23|1113
364|43|68|17|23|1201
365|34|50|17|22|1201
366|75|128|20|24|1201
367|20|20|20|23|1201
368|25|40|17|24|1203
369|64|95|17|24|1205
370|18|18|17|23|1205
371|48|65|17|22|1205
372|35|59|20|26|1205
373|135|239|20|25|1205
374|237|254|20|23|1205
375|7|7|19|24|1213
376|32|37|20|23|1213
377|48|71|17|22|1211
378|22|28|17|22|1207
379|39|49|17|22|1208
380|22|45|17|24|1208
381|28|80|19|25|1208
382|12|19|17|23|1302
383|14|14|17|23|1302
384|10|20|20|23|1302
385|23|40|17|22|1303
386|25|50|17|23|1303
387|7|15|20|24|1303
388|40|80|20|23|1303
389|125|193|17|23|1304
390|24|33|17|24|1304
391|57|82|17|23|1304
392|40|58|17|22|1305
393|5|10|8|21|1320
394|20|45|17|23|1320
395|38|87|17|22|1320
396|26|69|19|24|1320
397|10|26|20|24|1320
398|25|48|20|23|1320
399|24|82|21|25|1320
400|25|30|17|22|1321
401|15|19|20|23|1321
402|7|11|8|21|1306
403|26|55|17|24|1306
404|47|90|17|23|1306
405|43|90|17|22|1306
406|40|64|17|24|1306
407|44|68|17|23|1306
408|13|13|19|25|1306
409|70|196|19|24|1306
410|477|872|17|24|1308
411|386|773|17|23|1308
412|115|207|17|22|1308
413|134|175|17|24|1308
414|285|497|17|23|1308
415|28|46|17|22|1308
416|25|83|19|25|1308
417|39|71|19|24|1308
418|144|331|20|26|1308
419|344|678|20|25|1308
420|45|60|20|24|1308
421|459|913|20|23|1308
422|23|42|17|24|1309
423|22|43|17|23|1309
424|18|20|17|23|1309
425|25|52|19|24|1309
426|30|42|20|24|1309
427|32|38|20|23|1309
